Japanese Name,English Name,Longitude,Latitude,Address
練馬区役所,Nerima Ward Hall,139.651672,35.73571,東京都練馬区豊玉北6-12-1
江東区役所,Koto Ward Hall,139.817459,35.673092,東京都江東区東陽4-11-28
新宿区役所,Shinjuku ward office,139.703445,35.693916,東京都新宿区歌舞伎町1-4-1
品川区役所,Shinagawa Ward Office,139.730957,35.608299,東京都品川区広町2-1-36
荒川区役所,Arakawa Ward Office,139.783386,35.736259,東京都荒川区荒川2-2-3
足立区役所,Adachi ward office,139.805023,35.775124,東京都足立区中央本町1-17-1
板橋区役所,Itabashi Ward office,139.709122,35.751114,東京都板橋区板橋2-66-1
葛飾区役所,Katsushika government office,139.84729,35.743164,東京都葛飾区立石5-13-1
豊島区役所,Toshima Ward Hall,139.71666,35.726074,東京都豊島区南池袋2-45-1
渋谷区役所,Shibuya Ward Hall,139.697891,35.664154,東京都渋谷区宇田川町1-1
千代田区役所,Chiyoda Ward Office,139.75354,35.693947,東京都千代田区九段南1-2-1
杉並区役所,Suginami Ward House,139.636185,35.699615,東京都杉並区阿佐谷南1-15-1
江戸川区役所,Edogawa Ward Hall,139.868347,35.706852,東京都江戸川区中央1-4-1
墨田区役所,Sumida Ward Hall,139.801102,35.710056,東京都墨田区吾妻橋1-23-20
世田谷区役所 本庁,Setagaya Ward Head Office,139.652939,35.646095,東京都世田谷区世田谷4-21-27
北区役所,Kita Ward office,139.733566,35.752857,東京都北区王子本町1-15-22
大田区役所,Ota Ward Hall,139.715759,35.561253,東京都大田区蒲田5-13-14
港区役所,Minato Ward Office,139.751541,35.658531,東京都港区芝公園1-5-25
中央区役所,Chuo Ward Hall,139.772018,35.670601,東京都中央区築地1丁目1番1号
台東区役所,Taito Ward Hall,139.779938,35.712601,東京都台東区東上野4-5-6
中野区役所,Nakano Ward Hall,139.663818,35.707546,東京都中野区中野4-8-1
目黒区役所,Meguro Ward Hall,139.69838,35.641075,東京都目黒区上目黒2-19-15
文京区役所,Bunkyo Ward Office,139.752777,35.707943,東京都文京区春日1-16-21